Cycle,Time,T_parison,T_mold,T_gob,t_contact,t_cooling,Error,Reward
268,3593.84,991.9938607,378.9616239,1123,3.866920045,4.392008755,0.303075703,-0.303075703
269,3607.2,991.9938642,378.9616271,1123,3.866920045,4.392008755,0.303072229,-0.303072229
270,3620.56,991.9938675,378.9616301,1123,3.866920045,4.392008755,0.303068966,-0.303068966
271,3633.92,991.9938705,378.9616329,1123,3.866920045,4.392008755,0.303065901,-0.303065901
272,3647.28,991.9938734,378.9616356,1123,3.866920045,4.392008755,0.303063021,-0.303063021
273,3660.64,991.9938761,378.9616381,1123,3.866920045,4.392008755,0.303060316,-0.303060316
274,3674,991.9938787,378.9616404,1123,3.866920045,4.392008755,0.303057775,-0.303057775
275,3687.36,991.993881,378.9616426,1123,3.866920045,4.392008755,0.303055388,-0.303055388
276,3700.72,991.9938833,378.9616447,1123,3.866920045,4.392008755,0.303053145,-0.303053145
277,3714.08,991.9938854,378.9616466,1123,3.866920045,4.392008755,0.303051039,-0.303051039
278,3727.44,991.9938874,378.9616484,1123,3.866920045,4.392008755,0.30304906,-0.30304906
279,3740.8,991.9938892,378.9616502,1123,3.866920045,4.392008755,0.303047201,-0.303047201
280,3754.16,991.993891,378.9616518,1123,3.866920045,4.392008755,0.303045455,-0.303045455
281,3767.52,991.9938926,378.9616533,1123,3.866920045,4.392008755,0.303043814,-0.303043814
282,3780.88,991.9938942,378.9616547,1123,3.866920045,4.392008755,0.303042273,-0.303042273
283,3794.24,991.9938956,378.961656,1123,3.866920045,4.392008755,0.303040825,-0.303040825
284,3807.6,991.993897,378.9616573,1123,3.866920045,4.392008755,0.303039465,-0.303039465
285,3820.96,991.9938982,378.9616585,1123,3.866920045,4.392008755,0.303038188,-0.303038188
286,3834.32,991.9938994,378.9616596,1123,3.866920045,4.392008755,0.303036988,-0.303036988
287,3847.68,991.9939006,378.9616606,1123,3.866920045,4.392008755,0.30303586,-0.30303586
288,3861.04,991.9939016,378.9616616,1123,3.866920045,4.392008755,0.303034801,-0.303034801
289,3874.4,991.9939026,378.9616625,1123,3.866920045,4.392008755,0.303033806,-0.303033806
290,3887.76,991.9939036,378.9616634,1123,3.866920045,4.392008755,0.303032872,-0.303032872
291,3901.12,991.9939044,378.9616642,1123,3.866920045,4.392008755,0.303031994,-0.303031994
292,3914.48,991.9939053,378.961665,1123,3.866920045,4.392008755,0.303031169,-0.303031169
293,3927.84,991.993906,378.9616657,1123,3.866920045,4.392008755,0.303030394,-0.303030394
294,3941.2,991.9939068,378.9616663,1123,3.866920045,4.392008755,0.303029666,-0.303029666
