Variation,Cycle,Time (s),T_gob (Parison Temperature),T_mold (Mold Temperature),t_contact (°),t_cooling (°)
-10% Contact,34,454.2400000000003,970.2169507337205,371.63474426462034,95.4,120.0
-10% Contact,35,467.6000000000003,970.1963757136277,371.62527489844433,95.4,120.0
-10% Contact,36,480.9600000000003,970.1778587788092,371.6167580006264,95.4,120.0
-10% Contact,37,494.32000000000033,970.161195906384,371.6090981159664,95.4,120.0
-10% Contact,38,507.68000000000035,970.1462029339428,371.60220928766773,95.4,120.0
-10% Contact,39,521.0400000000003,970.1327136997287,371.5960141255825,95.4,120.0
-10% Contact,40,534.4000000000003,970.1205783414084,371.5904429631927,95.4,120.0
-10% Contact,41,547.7600000000003,970.1096617440816,371.58543309540016,95.4,120.0
-10% Contact,42,561.1200000000003,970.0998421262885,371.58092808983173,95.4,120.0
-10% Contact,43,574.4800000000004,970.0910097541578,371.57687716490244,95.4,120.0
-10% Contact,44,587.8400000000004,970.0830657734678,371.57323462844926,95.4,120.0
-10% Contact,45,601.2000000000004,970.0759211501119,371.56995937125623,95.4,120.0
-10% Contact,46,614.5600000000004,970.0694957099995,371.5670144102687,95.4,120.0
-10% Contact,47,627.9200000000004,970.0637172697662,371.5643664767728,95.4,120.0
-10% Contact,48,641.2800000000004,970.0585208501248,371.5619856452279,95.4,120.0
-10% Contact,49,654.6400000000004,970.0538479649063,371.5598449988185,95.4,120.0
-10% Contact,50,668.0000000000005,970.0496459787695,371.5579203281669,95.4,120.0
-10% Contact,51,681.3600000000005,970.0458675268584,371.5561898599872,95.4,120.0
-10% Contact,52,694.7200000000005,970.0424699912509,371.55463401274176,95.4,120.0
-10% Contact,53,708.0800000000005,970.0394150286519,371.5532351766458,95.4,120.0
-10% Contact,54,721.4400000000005,970.0366681441428,371.55197751564407,95.4,120.0
-10% Contact,55,734.8000000000005,970.0341983072927,371.55084678916154,95.4,120.0
-10% Contact,56,748.1600000000005,970.031977605867,371.54983019169487,95.4,120.0
-10% Contact,57,761.5200000000006,970.0299809338643,371.54891620846496,95.4,120.0
-10% Contact,58,774.8800000000006,970.0281857105139,371.54809448553794,95.4,120.0
-10% Contact,59,788.2400000000006,970.0265716272802,371.5473557129697,95.4,120.0
