Variation,Cycle,Time (s),T_gob (Parison Temperature),T_mold (Mold Temperature),t_contact (°),t_cooling (°)
+10% Cooling,37,494.32000000000033,959.585205674956,367.62170743423343,106.0,132.0
+10% Cooling,38,507.68000000000035,959.551805240177,367.60586189121494,106.0,132.0
+10% Cooling,39,521.0400000000003,959.5217392462737,367.591590076211,106.0,132.0
+10% Cooling,40,534.4000000000003,959.4946724240551,367.57873510184487,106.0,132.0
+10% Cooling,41,547.7600000000003,959.4703035741817,367.5671558211007,106.0,132.0
+10% Cooling,42,561.1200000000003,959.4483620612642,367.55672523225815,106.0,132.0
+10% Cooling,43,574.4800000000004,959.4286046707272,367.5473290476428,106.0,132.0
+10% Cooling,44,587.8400000000004,959.410812792061,367.53886440917535,106.0,132.0
+10% Cooling,45,601.2000000000004,959.3947898950528,367.53123873545417,106.0,132.0
+10% Cooling,46,614.5600000000004,959.3803592692366,367.5243686866688,106.0,132.0
+10% Cooling,47,627.9200000000004,959.3673619981769,367.51817923511686,106.0,132.0
+10% Cooling,48,641.2800000000004,959.3556551449113,367.5126028303399,106.0,132.0
+10% Cooling,49,654.6400000000004,959.3451101254598,367.50757864908945,106.0,132.0
+10% Cooling,50,668.0000000000005,959.3356112510219,367.5030519213515,106.0,132.0
+10% Cooling,51,681.3600000000005,959.3270544206503,367.4989733245827,106.0,132.0
+10% Cooling,52,694.7200000000005,959.3193459488376,367.4952984391507,106.0,132.0
+10% Cooling,53,708.0800000000005,959.3124015136291,367.491987258686,106.0,132.0
+10% Cooling,54,721.4400000000005,959.30614521254,367.48900374974335,106.0,132.0
+10% Cooling,55,734.8000000000005,959.3005087151317,367.48631545572584,106.0,132.0
+10% Cooling,56,748.1600000000005,959.2954305019435,367.4838931405697,106.0,132.0
+10% Cooling,57,761.5200000000006,959.2908551809879,367.48171046815355,106.0,132.0
+10% Cooling,58,774.8800000000006,959.2867328736171,367.4797437138051,106.0,132.0
+10% Cooling,59,788.2400000000006,959.2830186625422,367.4779715046622,106.0,132.0
+10% Cooling,60,801.6000000000006,959.2796720958142,367.47637458597563,106.0,132.0
+10% Cooling,61,814.9600000000006,959.2766567407093,367.4749356107366,106.0,132.0
+10% Cooling,62,828.3200000000006,959.2739397827614,367.47363895027877,106.0,132.0
+10% Cooling,63,841.6800000000006,959.2714916648468,367.4724705237627,106.0,132.0
+10% Cooling,64,855.0400000000006,959.2692857628391,367.4714176446258,106.0,132.0
+10% Cooling,65,868.4000000000007,959.2672980934282,367.47046888232074,106.0,132.0
+10% Cooling,66,881.7600000000007,959.2655070515148,367.4696139377988,106.0,132.0
+10% Cooling,67,895.1200000000007,959.2638931737166,367.4688435313668,106.0,132.0
+10% Cooling,68,908.4800000000007,959.2624389255939,367.46814930168574,106.0,132.0
+10% Cooling,69,921.8400000000007,959.2611285098944,367.4675237147973,106.0,132.0
+10% Cooling,70,935.2000000000007,959.2599476943152,367.46695998217785,106.0,132.0
+10% Cooling,71,948.5600000000007,959.258883655991,367.4664519869249,106.0,132.0
+10% Cooling,72,961.9200000000008,959.2579248418656,367.46599421725836,106.0,132.0
+10% Cooling,73,975.2800000000008,959.2570608425925,367.4655817066221,106.0,132.0
+10% Cooling,74,988.6400000000008,959.2562822792893,367.46520997971703,106.0,132.0
+10% Cooling,75,1002.0000000000008,959.2555807013374,367.4648750038829,106.0,132.0
+10% Cooling,76,1015.3600000000008,959.2549484944008,367.4645731452982,106.0,132.0
